date,kW
2016/1/1,263.799
2016/1/2,261.975
2016/1/3,266.167
2016/1/4,302.227
2016/1/5,313.328
2016/1/6,311.174
2016/1/7,307.244
2016/1/8,304.049
2016/1/9,282.141
2016/1/10,267.17
2016/1/11,302.529
2016/1/12,304.97
2016/1/13,307.894
2016/1/14,307.045
2016/1/15,307.694
2016/1/16,275.077
2016/1/17,271.721
2016/1/18,295.183
2016/1/19,305.449
2016/1/20,307.466
2016/1/21,309.751
2016/1/22,307.307
2016/1/23,290.329
2016/1/24,280.777
2016/1/25,305.607
2016/1/26,308.178
2016/1/27,310.592
2016/1/28,311.606
2016/1/29,311.922
2016/1/30,301.401
2016/1/31,271.86
2016/2/1,294.448
2016/2/2,302.971
2016/2/3,300.85
2016/2/4,295.411
2016/2/5,276.526
2016/2/6,247.058
2016/2/7,222.883
2016/2/8,213.54
2016/2/9,212.242
2016/2/10,215.612
2016/2/11,225.185
2016/2/12,240.902
2016/2/13,245.255
2016/2/14,248.261
2016/2/15,280.218
2016/2/16,297.046
2016/2/17,299.98
2016/2/18,301.153
2016/2/19,301.254
2016/2/20,283.875
2016/2/21,267.842
2016/2/22,294.557
2016/2/23,302.147
2016/2/24,305.394
2016/2/25,305.884
2016/2/26,304.191
2016/2/27,281.829
2016/2/28,260.066
2016/2/29,264.255
2016/3/1,298.613
2016/3/2,304.836
2016/3/3,306.628
2016/3/4,307.474
2016/3/5,288.564
2016/3/6,271.407
2016/3/7,307.043
2016/3/8,319.805
2016/3/9,317.294
2016/3/10,314.376
2016/3/11,311.391
2016/3/12,292.173
2016/3/13,277.227
2016/3/14,304.216
2016/3/15,315.782
2016/3/16,315.692
2016/3/17,316.612
2016/3/18,322.942
2016/3/19,304.993
2016/3/20,281.437
2016/3/21,309.544
2016/3/22,317.491
2016/3/23,319.971
2016/3/24,315.022
2016/3/25,313.947
2016/3/26,286.315
2016/3/27,270.214
2016/3/28,296.779
2016/3/29,306.254
2016/3/30,310.441
2016/3/31,314.404
2016/4/1,312.646
2016/4/2,294.438
2016/4/3,278.92
2016/4/4,272.195
2016/4/5,281.428
2016/4/6,323.066
2016/4/7,341.29
2016/4/8,338.093
2016/4/9,310.529
2016/4/10,291.419
2016/4/11,317.229
2016/4/12,325.801
2016/4/13,330.042
2016/4/14,330.043
2016/4/15,327.056
2016/4/16,310.897
2016/4/17,293.836
2016/4/18,317.782
2016/4/19,321.359
2016/4/20,333.098
2016/4/21,347.572
2016/4/22,350.015
2016/4/23,324.412
2016/4/24,301.984
2016/4/25,338.771
2016/4/26,351.746
2016/4/27,350.954
2016/4/28,340.334
2016/4/29,325.163
2016/4/30,301.027
2016/5/1,266.064
2016/5/2,286.766
2016/5/3,323.355
2016/5/4,331.122
2016/5/5,338.723
2016/5/6,344.832
2016/5/7,326.42
2016/5/8,304.913
2016/5/9,344.06
2016/5/10,347.755
2016/5/11,325.03
2016/5/12,332.188
2016/5/13,339.851
2016/5/14,320.346
2016/5/15,303.024
2016/5/16,318.917
2016/5/17,311.704
2016/5/18,319.977
2016/5/19,326.806
2016/5/20,330.552
2016/5/21,306.874
2016/5/22,288.727
2016/5/23,328.608
2016/5/24,338.421
2016/5/25,340.922
2016/5/26,348.879
2016/5/27,357.192
2016/5/28,338.069
2016/5/29,324.304
2016/5/30,365.125
2016/5/31,375.438
2016/6/1,355.215
2016/6/2,347.41
2016/6/3,351.215
2016/6/4,349.332
2016/6/5,308.796
2016/6/6,328.018
2016/6/7,336.767
2016/6/8,335.642
2016/6/9,301.871
2016/6/10,288.771
2016/6/11,279.589
2016/6/12,275.22
2016/6/13,310.887
2016/6/14,320.107
2016/6/15,332.867
2016/6/16,345.413
2016/6/17,346.337
2016/6/18,322.227
2016/6/19,305.467
2016/6/20,341.255
2016/6/21,348.471
2016/6/22,356.334
2016/6/23,359.437
2016/6/24,354.694
2016/6/25,331.967
2016/6/26,315.82
2016/6/27,351.729
2016/6/28,356.032
2016/6/29,354.8
2016/6/30,349.669
2016/7/1,347.142
2016/7/2,320.651
2016/7/3,301.726
2016/7/4,339.579
2016/7/5,352.362
2016/7/6,356.913
2016/7/7,346.939
2016/7/8,279.182
2016/7/9,296.858
2016/7/10,287.639
2016/7/11,321.534
2016/7/12,332.387
2016/7/13,339.985
2016/7/14,348.613
2016/7/15,350.818
2016/7/16,331.79
2016/7/17,314.573
2016/7/18,338.699
2016/7/19,341.696
2016/7/20,345.118
2016/7/21,351.554
2016/7/22,352.575
2016/7/23,328.181
2016/7/24,312.392
2016/7/25,348.04
2016/7/26,356.899
2016/7/27,360.096
2016/7/28,364.545
2016/7/29,359.428
2016/7/30,330.595
2016/7/31,314.899
2016/8/1,350.046
2016/8/2,354.416
2016/8/3,354.633
2016/8/4,359.671
2016/8/5,359.712
2016/8/6,333.141
2016/8/7,312.828
2016/8/8,350.599
2016/8/9,359.236
2016/8/10,359.371
2016/8/11,348.172
2016/8/12,341.854
2016/8/13,308.898
2016/8/14,299.113
2016/8/15,340.12
2016/8/16,345.143
2016/8/17,339.067
2016/8/18,343.251
2016/8/19,341.773
2016/8/20,318.509
2016/8/21,305.468
2016/8/22,345.978
2016/8/23,356.374
2016/8/24,358.713
2016/8/25,358.874
2016/8/26,357.666
2016/8/27,327.236
2016/8/28,297.263
2016/8/29,320.662
2016/8/30,322.777
2016/8/31,327.471
2016/9/1,353.218
2016/9/2,350.912
2016/9/3,321.863
2016/9/4,310.298
2016/9/5,350.887
2016/9/6,349.551
2016/9/7,346.16
2016/9/8,345.952
2016/9/9,346.512
2016/9/10,336.534
2016/9/11,312.231
2016/9/12,346.466
2016/9/13,351.967
2016/9/14,322.36
2016/9/15,284.49
2016/9/16,290.889
2016/9/17,288.973
2016/9/18,284.913
2016/9/19,321.832
2016/9/20,326.884
2016/9/21,333.626
2016/9/22,339.083
2016/9/23,337.914
2016/9/24,311.436
2016/9/25,295.952
2016/9/26,335.862
2016/9/27,271.176
2016/9/28,267.225
2016/9/29,328.149
2016/9/30,335.885
2016/10/1,318.718
2016/10/2,302.353
2016/10/3,342.232
2016/10/4,349.614
2016/10/5,353.5
2016/10/6,352.719
2016/10/7,345.02
2016/10/8,315.64
2016/10/9,282.742
2016/10/10,284.751
2016/10/11,324.698
2016/10/12,330.186
2016/10/13,330.147
2016/10/14,330.808
2016/10/15,315.332
2016/10/16,301.477
2016/10/17,343.226
2016/10/18,352.38
2016/10/19,354.447
2016/10/20,357.542
2016/10/21,359.584
2016/10/22,336.177
2016/10/23,313.016
2016/10/24,341.315
2016/10/25,343.992
2016/10/26,356.401
2016/10/27,356.499
2016/10/28,353.505
2016/10/29,311.741
2016/10/30,280.121
2016/10/31,300.736
2016/11/1,337.787
2016/11/2,334
2016/11/3,333.183
2016/11/4,337.187
2016/11/5,312.786
2016/11/6,296.781
2016/11/7,339.194
2016/11/8,345.26
2016/11/9,333.599
2016/11/10,334.744
2016/11/11,327.518
2016/11/12,311.796
2016/11/13,297.964
2016/11/14,336.753
2016/11/15,346.981
2016/11/16,346.143
2016/11/17,347.904
2016/11/18,346.143
2016/11/19,324.175
2016/11/20,301.924
2016/11/21,335.424
2016/11/22,343.134
2016/11/23,335.044
2016/11/24,328.545
2016/11/25,331.241
2016/11/26,308.751
2016/11/27,283.558
2016/11/28,312.342
2016/11/29,325.226
2016/11/30,328.921
2016/12/1,332.951
2016/12/2,329.467
2016/12/3,310.973
2016/12/4,295.566
2016/12/5,331.6
2016/12/6,332.271
2016/12/7,334.161
2016/12/8,334.344
2016/12/9,332.062
2016/12/10,308.854
2016/12/11,289.309
2016/12/12,325.517
2016/12/13,335.044
2016/12/14,330.427
2016/12/15,326.54
2016/12/16,323.305
2016/12/17,304.634
2016/12/18,286.801
2016/12/19,324.35
2016/12/20,341.12
2016/12/21,345.422
2016/12/22,340.657
2016/12/23,330.02
2016/12/24,303.733
2016/12/25,288.593
2016/12/26,316.791
2016/12/27,324.877
2016/12/28,324.686
2016/12/29,320.135
2016/12/30,315.613
2016/12/31,290.524
2017/1/1,268.503
2017/1/2,280.534
2017/1/3,320.449
2017/1/4,329.623
2017/1/5,330.137
2017/1/6,330.589
2017/1/7,306.516
2017/1/8,283.998
2017/1/9,315.17
2017/1/10,322.524
2017/1/11,325.791
2017/1/12,329.116
2017/1/13,325.652
2017/1/14,297.082
2017/1/15,281.042
2017/1/16,314.013
2017/1/17,325.097
2017/1/18,327.192
2017/1/19,327.982
2017/1/20,322.404
2017/1/21,299.903
2017/1/22,282.438
2017/1/23,313.076
2017/1/24,320.292
2017/1/25,310.395
2017/1/26,283.805
2017/1/27,243.423
2017/1/28,230.95
2017/1/29,233.093
2017/1/30,237.237
2017/1/31,244.939
2017/2/1,258.806
2017/2/2,289.089
2017/2/3,304.543
2017/2/4,293.56
2017/2/5,278.986
2017/2/6,310.075
2017/2/7,320.057
2017/2/8,324.007
2017/2/9,323.31
2017/2/10,324.35
2017/2/11,301.272
2017/2/12,285.43
2017/2/13,316.656
2017/2/14,325.037
2017/2/15,324.778
2017/2/16,324.481
2017/2/17,327.078
2017/2/18,319.23
2017/2/19,286.855
2017/2/20,322.494
2017/2/21,331.285
2017/2/22,336.296
2017/2/23,333.496
2017/2/24,328.736
2017/2/25,303.27
2017/2/26,282.442
2017/2/27,286.652
2017/2/28,297.169
2017/3/1,319.972
2017/3/2,322.782
2017/3/3,323.603
2017/3/4,301.165
2017/3/5,284.462
2017/3/6,317.131
2017/3/7,326.219
2017/3/8,328.478
2017/3/9,329.645
2017/3/10,332.956
2017/3/11,307.066
2017/3/12,289.286
2017/3/13,326.713
2017/3/14,329.612
2017/3/15,329.804
2017/3/16,332.764
2017/3/17,332.276
2017/3/18,308.612
2017/3/19,289.912
2017/3/20,328.554
2017/3/21,336.78
2017/3/22,334.616
2017/3/23,334.601
2017/3/24,334.257
2017/3/25,304.199
2017/3/26,282.75
2017/3/27,316.217
2017/3/28,328.486
2017/3/29,332.055
2017/3/30,333.617
2017/3/31,332.343
2017/4/1,293.726
2017/4/2,272.587
2017/4/3,271.462
2017/4/4,274.183
2017/4/5,318.184
2017/4/6,332.957
2017/4/7,339.621
2017/4/8,318.992
2017/4/9,302.878
2017/4/10,347.81
2017/4/11,349.896
2017/4/12,334.727
2017/4/13,331.139
2017/4/14,334.176
2017/4/15,315.019
2017/4/16,302.969
2017/4/17,349.128
2017/4/18,361.796
2017/4/19,365.389
2017/4/20,363.071
2017/4/21,361.735
2017/4/22,308.309
2017/4/23,285.44
2017/4/24,327.021
2017/4/25,344.756
2017/4/26,355.286
2017/4/27,338.571
2017/4/28,326.675
2017/4/29,300.818
2017/4/30,285.355
2017/5/1,282.424
2017/5/2,324.007
2017/5/3,340.699
2017/5/4,347.71
2017/5/5,352.091
2017/5/6,321.32
2017/5/7,296.445
2017/5/8,342.186
2017/5/9,352.04
2017/5/10,357.768
2017/5/11,362.88
2017/5/12,362.449
2017/5/13,327.963
2017/5/14,305.024
2017/5/15,348.13
2017/5/16,336.77
2017/5/17,333.3
2017/5/18,344.17
2017/5/19,341.697
2017/5/20,310.523
2017/5/21,296.581
2017/5/22,344.213
2017/5/23,359.92
2017/5/24,361.979
2017/5/25,346.019
2017/5/26,336.698
2017/5/27,308.837
2017/5/28,289.916
2017/5/29,298.295
2017/5/30,301.063
2017/5/31,347.68
2017/6/1,342.911
2017/6/2,340.613
2017/6/3,324.862
2017/6/4,289.044
2017/6/5,331.911
2017/6/6,351.586
2017/6/7,362.462
2017/6/8,363.023
2017/6/9,362.558
2017/6/10,339.351
2017/6/11,321.73
2017/6/12,357.655
2017/6/13,362.393
2017/6/14,346.782
2017/6/15,328.619
2017/6/16,329.851
2017/6/17,303.739
2017/6/18,284.626
2017/6/19,324.46
2017/6/20,340.014
2017/6/21,352.91
2017/6/22,363.05
2017/6/23,365.688
2017/6/24,338.481
2017/6/25,321.827
2017/6/26,364.832
2017/6/27,373.349
2017/6/28,372.966
2017/6/29,369.354
2017/6/30,361.789
2017/7/1,321.836
2017/7/2,304.344
2017/7/3,344.231
2017/7/4,350.531
2017/7/5,351.088
2017/7/6,356.921
2017/7/7,346.993
2017/7/8,318.201
2017/7/9,304.52
2017/7/10,350.604
2017/7/11,359.055
2017/7/12,360.801
2017/7/13,362.923
2017/7/14,361.52
2017/7/15,332.587
2017/7/16,313.048
2017/7/17,349.659
2017/7/18,365.553
2017/7/19,364.931
2017/7/20,366.825
2017/7/21,367.363
2017/7/22,338.096
2017/7/23,323.781
2017/7/24,364.487
2017/7/25,367.989
2017/7/26,365.698
2017/7/27,363.576
2017/7/28,366.728
2017/7/29,321.456
2017/7/30,288.817
2017/7/31,318.507
2017/8/1,335.206
2017/8/2,340.23
2017/8/3,349.136
2017/8/4,351.431
2017/8/5,330.022
2017/8/6,317.947
2017/8/7,362.283
2017/8/8,369.536
2017/8/9,369.142
2017/8/10,368.745
2017/8/11,368.828
2017/8/12,342.896
2017/8/13,324.604
2017/8/14,360.697
2017/8/15,360.867
2017/8/16,366.793
2017/8/17,367.63
2017/8/18,368.178
2017/8/19,338.513
2017/8/20,321.716
2017/8/21,361.014
2017/8/22,359.463
2017/8/23,355.082
2017/8/24,355.287
2017/8/25,353.967
2017/8/26,330.987
2017/8/27,311.68
2017/8/28,347.855
2017/8/29,361.471
2017/8/30,360.162
2017/8/31,356.037
2017/9/1,351.932
2017/9/2,319.431
2017/9/3,299.6
2017/9/4,345.405
2017/9/5,359.311
2017/9/6,369.562
2017/9/7,368.528
2017/9/8,364.928
2017/9/9,334.578
2017/9/10,317.158
2017/9/11,355.593
2017/9/12,369.164
2017/9/13,358.802
2017/9/14,348.026
2017/9/15,352.989
2017/9/16,329.911
2017/9/17,306.887
2017/9/18,339.963
2017/9/19,354.89
2017/9/20,359.847
2017/9/21,365.693
2017/9/22,369.006
2017/9/23,346.591
2017/9/24,329.802
2017/9/25,368.19
2017/9/26,377.893
2017/9/27,379.148
2017/9/28,377.612
2017/9/29,368.09
2017/9/30,354.078
2017/10/1,350.098
2017/10/2,393.891
2017/10/3,397.797
2017/10/4,342.778
2017/10/5,375.332
2017/10/6,385.428
2017/10/7,348.461
2017/10/8,328.554
2017/10/9,335.906
2017/10/10,347.136
2017/10/11,386.68
2017/10/12,381.023
2017/10/13,364.231
2017/10/14,334.531
2017/10/15,312.378
2017/10/16,360.552
2017/10/17,364.246
2017/10/18,359.051
2017/10/19,353.246
2017/10/20,344.404
2017/10/21,303.734
2017/10/22,277.572
2017/10/23,314.139
2017/10/24,325.935
2017/10/25,327.614
2017/10/26,327.413
2017/10/27,323.869
2017/10/28,296.494
2017/10/29,275.541
2017/10/30,308.63
2017/10/31,317.362
2017/11/1,346.257
2017/11/2,355.227
2017/11/3,350.751
2017/11/4,315.945
2017/11/5,295.95
2017/11/6,341.356
2017/11/7,360.974
2017/11/8,357.485
2017/11/9,358.912
2017/11/10,362.763
2017/11/11,326.375
2017/11/12,301.848
2017/11/13,344.265
2017/11/14,357.181
